what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514598170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514627618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514638410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514653041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514655524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514664371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514667313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514678400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514736554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514958327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514961141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390515165349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390515168633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515168649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390515175108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515181884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515228922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515229128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515232743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515247920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515263716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515415022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515437245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515437657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515437989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515438358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515438888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515482863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515483239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515483828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515484407
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390515521883
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1390515523216
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1390515523420
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1390515523541
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390515523569
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1390515535413
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390515535561
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1390515535562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515569425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515569606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515569830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515599247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515651972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515652636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515653244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390515661720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515663033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515663598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515666447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515670037
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1390515676688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390515680983
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1390515681017
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390515697517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390515714294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515718661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515735773
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1390515735928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390515742218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515855879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515856012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515856173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515894361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516135148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516138971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516143475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516152776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390516259963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516260993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516262568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516263819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516279075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390516312506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390516318883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390516322135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516328562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516340395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390516522905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390516525481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390516836027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390516840333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390516867152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390516868252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390516883306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516887825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516933945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516984220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390516988145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390517008564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517012920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517027849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390517043929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517044871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517046513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517048216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517058049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517128044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517128483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517128953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390517150393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390517179276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517202360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517241672
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1390517249965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390517253620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517253634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517257039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390517260121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517267528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517267671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390517271206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390517276186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390517290398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390517292848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390517311758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390517313307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517355281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517356557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390517436288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390517452639
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1390517453577
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1390517453598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390517454133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390517455814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517540195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517541370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517596372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517596663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517596998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390517597386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390517652976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517653864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517655656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517657279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517677839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517684491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517727644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517737516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517859708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517890468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517891387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517932059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517936858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517970842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517971016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390517984130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518005800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518052202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518057712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518061087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518070496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390518083173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390518085659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390518133960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518190253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518212522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390518231228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390518233892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390518277332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390518294804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518522514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518522735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390518705615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518725056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518728188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518731939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518735363
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1390518739175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390518758575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518926822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518926973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518927158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518931936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390518939753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390518942662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390518943093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390518945334
